1838,F A QUERETARO CAMPANARIO,01631 - QRO_QRCP_CAMPANARIO_01631,QRCP,Cerrada,QUERETARO,QUERETARO,1,FARMACIAS DEL AHORRO,N,A,,1, ,, , ,PROVINCIA,BAJIO
1109,F A AGUASCALIENTES RINCON,01011 - AGS_AGRI_RINCON_01011,AGRI,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,MORELOS,,131,CENTRO,RINCON DE ROMOS,AGUASCALIENTES,RINCON DE ROMOS,PROVINCIA,NORTE
1108,F A AGUASCALIENTES PABELLON,01004 - AGS_AGPA_PABELLON_01004,AGPA,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,HEROICO COLEGIO MILITAR,,2,CENTRO,PABELLON DE ARTEAGA,AGUASCALIENTES,PABELLON DE ARTEAGA,PROVINCIA,NORTE
1072,F A AGUASCALIENTES JESUS MARIA          C,00994 - AGS_AGJE_JESUS MARIA_00994,AGJE,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,ALLENDE,,103,ZONA CENTRO,JESUS MARIA,AGUASCALIENTES,JESUS MARIA,PROVINCIA,NORTE
1100,F A AGUASCALIENTES MARAVILLAS          C,00998 - AGS_AGMR_MARAVILLAS_00998,AGMR,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV GUADALUPE,,101,TEPETATES,,AGUASCALIENTES,JESUS MARIA,PROVINCIA,NORTE
1081,F A AGUASCALIENTES CONCEPCION         C,00988 - AGS_AGCC_CONCEPCION_00988,AGCC,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,MONTES HIMALAYA,,601,FRACC LA CONCEPCION,,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1083,F A AGUASCALIENTES JUAREZ,00995 - AGS_AGJU_JUAREZ_00995,AGJU,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,MADERO,,102,ZONA CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2186,F A AGUASCALIENTES DIAZ DE LEON,01957 - AGS_AGDL_DIAZ DE LEON_01957,AGDL,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV. LIC ADOLFO LOPEZ MATEOS OTE,,312,ZONA CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2014,F A DERMA AGUASCALIENTES ALTARIA,04105 - AGS_AGAT_ALTARIA_04105,AGAT,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,BLVD. A ZACATECAS,,849 LOC 1064-A,TROJES DE ALONSO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2155,F A AGUASCALIENTES PASEO DE LA ASUNCION,01946 - AGS_AGAS_PASEO DE LA ASUNCION_01946,AGAS,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV. AGUASCALIENTES SUR,1,314,PRADOS DEL SUR,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2373,F A AGUASCALIENTES ACUEDUCTO,02137 - AGS_AGAC_ACUEDUCTO_02137,AGAC,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV. CONVENCION DE 1914,,1114,LA SALUD,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
474,F A AGUASCALIENTES CONSTITUCION             C,00624 - AGS_AGCO_CONSTITUCION_00624,AGCO,Cerrada,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV CONSTITUCION,,811,POZO BRAVO SUR,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1670,DERMA AGUASCALIENTES ALTARIA,,T050,Cerrada,AGUASCALIENTES,AGUASCALIENTES,183,FARMACIAS DERMATOLÓGICAS,N,BLVD A ZACATECAS,1064 A,849 1064 A,TROJES DE ALONSO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
524,F A AGUASCALIENTES CANAL INTERCEPTOR,00478 - AGS_AGCI_CANAL INTERCEPTOR_00478,AGCI,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV INDEPENDENCIA,,1335,EL PLATEADO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1021,F A AGUASCALIENTES SAN IGNACIO,00916 - AGS_AGSI_SAN IGNACIO_00916,AGSI,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV AGUASCALIENTES NORTE,,1502,COLINAS DE SAN IGNACIO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1965,F A AGUASCALIENTES PODER JUDICIAL,01738 - AGS_AGPJ_PODER JUDICIAL_01738,AGPJ,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV ADOLFO LOPEZ MATEOS,1,803,GAMEZ,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1966,F A AGUASCALIENTES BOMBEROS,01760 - AGS_AGOC_BOMBEROS _01760,AGOC,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,AV. AGUASCALIENTES OTE,,1551,EJIDO OJOCALIENTE,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2272,F A AGUASCALIENTES ASUNCION,02049 - AGS_AGAN_ASUNCION_02049,AGAN,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV. CONVENCION DE 1914 SUR,,901,JARDINES DE AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
472,F A AGUASCALIENTES DEL VALLE,00476 - AGS_AGDV_DEL VALLE_00476,AGDV,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV AGUASCALIENTES PONIENTE,,820,FRACC DEL VALLE 1ERA SECC,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1471,F A AGUASCALIENTES JARDINES DE LAS FUENTES,01417 - AGS_AGJF_JARDINES DE LAS FUENTES_01417,AGJF,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV. AGUASCALIENTES SUR,,610,JARDINES DE LAS FUENTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
536,F A AGUASCALIENTES BOULEVARES,00477 - AGS_AGBO_BOULEVARES_00477,AGBO,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV AGUASCALIENTES SUR,,717,EL DORADO ,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
1096,F A AGUASCALIENTES VILLASUNCION,01015 - AGS_AGVI_VILLASUNCION_01015,AGVI,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,N,MAHATMA GHANDI,,401,PRADOS DE VILLASUNCION,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2268,F A AGUASCALIENTES ALVARO OBREGON,02045 - AGS_AGAO_ALVARO OBREGON _02045,AGAO,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,ALVARO OBREGON,,356,CENTRO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
2288,F A AGUASCALIENTES HEROE DE NACOZARI,02064 - AGS_AGHN_HEROE DE NACOZARI _02064,AGHN,Abierta,AGUASCALIENTES,AGUASCALIENTES,1,FARMACIAS DEL AHORRO,S,AV. ALAMEDA,,201,BARRIO DE LA ESTACION,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PROVINCIA,NORTE
